[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:46394d355202007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:415a555a5402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:524a37523802007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:393445585102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:53474a593702007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:414258424f02007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:45545a553102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4e4433434402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:515444484102007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:354531313402007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:54305a423302007230000108c00000d00200
[21/04/2023 15:42:59] R:02007230000108c00000d00200 | S:4858474f3802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:313551374702007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:414e41565a02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:375a33395202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:433956525602007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4a4830545802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:435249313502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:5252314b4802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:59385a394702007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:455350544e02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:475748354402007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:575357343002007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:315a37353102007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:595842393202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4b5a58455702007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:414335335802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:35564a534202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:385437494d02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:595941593802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:583154584702007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4842344d4402007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:343933584502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:594c55524d02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:355742585802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:314648435902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:364c4c335602007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4b3644374d02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:454836345202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:3431334f4102007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:493053383502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4e5749303802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:443847315902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4145464a4c02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:515041574102007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:48364d384e02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4d4244355402007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4a4730373002007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4b484b394502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4d59364e5002007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:315939414902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4431304c4802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:534359374602007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:564638484902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:384438313502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:333646353202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:364a38375302007230000108c00000d00200
